Store,Location_Store,Customer_Geo,Customer_Age,Cust_City,Cust_Dist,Cust_State,Customer_Income,Customer_Gender,Customer_Marital_Status,Transaction_Date,Volume,Price,Product_Model,Product_Category,Product_Brand,Product_company,Cust_Ethnic,Occupation,Loan_Amount,Default_Risk,Outstanding,First_replayment_date,Last_repayment_date
CarWorld,Mumbai,Tamil Nadu India,28,Bangalore,Pune,Telangana,1004656,Male,Unmarried,21 July 2024,2,2014148,Sportz,SUV,Verna,Hyundai,Hispanic,Professional,1502837,1,836389,07 September 2024,10 October 2026
TCS Auto,Bangalore,Delhi India,46,Nashik,New Delhi,West Bengal,1183349,Female,Married,04 July 2024,3,1239892,Magna,Premium Hatchback,City,Maruti,Native American,Business Owner,1063458,0,50062,12 August 2024,24 June 2026
AutoZone,Delhi,Karnataka India,63,Mumbai,Bangalore Urban,Karnataka,1502669,Male,Unmarried,17 May 2023,1,2374927,ZX,Luxury Sedan,City,Maruti,African,Government Employee,1640783,0,103967,06 July 2023,31 May 2025
CarWorld,Delhi,Tamil Nadu India,43,Mumbai,Mumbai Suburban,Delhi,1919809,Male,Unmarried,01 July 2024,2,1224783,LX,Premium Hatchback,Swift,Hyundai,Caucasian,Business Owner,1075808,0,73654,07 September 2024,10 March 2027
CarWorld,Mumbai,Karnataka India,28,Mumbai,Mumbai Suburban,Telangana,898319,Female,Unmarried,19 May 2023,3,1993098,Asta,SUV,Swift,Honda,Asian,Retired,1274720,1,868839,18 July 2023,14 January 2026
CarWorld,Hyderabad,Maharashtra India,21,Bangalore,Hyderabad,Delhi,526811,Female,Married,10 May 2024,3,2231648,SX,Entry Hatchback,Verna,Hyundai,Caucasian,Salaried,1397865,0,161448,02 July 2024,23 June 2027
AutoZone,Delhi,Delhi India,39,Delhi,New Delhi,West Bengal,2421631,Male,Divorced,19 May 2024,2,556404,Era,Compact SUV,Creta,Hyundai,Asian,Professional,357461,0,49479,02 July 2024,15 April 2026
SpeedWheels,Pune,Telangana India,24,Bangalore,Hyderabad,Maharashtra,740654,Female,Married,12 February 2024,2,728785,Magna,SUV,I10 GRAND,Hyundai,Caucasian,Self Employed,475999,1,296127,16 April 2024,01 March 2027
CarWorld,Delhi,West Bengal India,47,Hyderabad,Mumbai Suburban,Telangana,2144420,Female,Married,29 January 2023,1,1765116,Sportz,SUV,Brezza,Hyundai,Native American,Professional,1186025,0,200154,17 April 2023,31 October 2025
AutoZone,Kolkata,Delhi India,33,Hyderabad,New Delhi,Maharashtra,2379815,Female,Unmarried,21 September 2023,1,595036,VX,Entry Hatchback,Creta,Maruti,African,Government Employee,377332,1,236697,15 December 2023,11 August 2026
SCP,Kolkata,Maharashtra India,38,Chennai,Hyderabad,Telangana,516170,Male,Unmarried,31 December 2024,2,2166081,ZX,Sedan,Verna,Hyundai,Caucasian,Salaried,1855150,1,594545,01 February 2025,17 August 2027
SCP,Hyderabad,Telangana India,25,Mumbai,Kolkata,Karnataka,1609626,Male,Married,14 August 2024,3,1718998,Sportz,Compact SUV,Nexon,Hyundai,Asian,Self Employed,1527054,0,91262,22 October 2024,10 November 2025
DriveEasy,Pune,Telangana India,64,Delhi,Pune,West Bengal,1831456,Male,Divorced,12 May 2024,2,1797881,Era,SUV,City,Maruti,Caucasian,Retired,1183669,1,733024,11 July 2024,02 January 2027
DriveEasy,Chennai,Karnataka India,38,Kolkata,Mumbai Suburban,Karnataka,481482,Male,Unmarried,15 December 2023,2,1474115,VX,Premium Hatchback,Nexon,Honda,Caucasian,Self Employed,982492,0,34453,07 March 2024,25 June 2025
SpeedWheels,Delhi,Telangana India,41,Nagpur,Hyderabad,West Bengal,1848816,Female,Unmarried,10 February 2024,3,1134610,VX,SUV,City,Hyundai,Asian,Professional,868354,1,507681,20 March 2024,12 June 2026
SCP,Delhi,Delhi India,21,Nashik,Kolkata,Telangana,1588044,Female,Married,18 August 2023,1,578060,Magna,Compact SUV,Nexon,Hyundai,Asian,Professional,429737,0,59231,30 September 2023,29 August 2026
SCP,Bangalore,West Bengal India,41,Mumbai,Pune,Karnataka,1930720,Male,Unmarried,28 May 2024,2,758297,Magna,Sedan,Nexon,Maruti,Asian,Salaried,606596,0,51023,18 July 2024,25 November 2025
DriveEasy,Chennai,West Bengal India,47,Nashik,New Delhi,Tamil Nadu,471278,Female,Unmarried,10 May 2023,3,860442,SX,Sedan,City,Maruti,Native American,Retired,539873,0,49168,24 June 2023,12 November 2024
TCS Auto,Kolkata,Tamil Nadu India,52,Kolkata,Hyderabad,Maharashtra,2474106,Female,Unmarried,16 September 2024,2,1757052,Magna,Premium Hatchback,Brezza,Hyundai,Asian,Business Owner,1304442,0,83370,29 November 2024,04 April 2027
AutoHub,Mumbai,Maharashtra India,40,Kolkata,Hyderabad,West Bengal,525361,Female,Married,12 October 2024,3,1543794,ZX,Entry Hatchback,Brezza,Hyundai,Asian,Professional,1001044,0,144939,11 December 2024,22 February 2027
SpeedWheels,Mumbai,Karnataka India,21,Pune,Kolkata,Telangana,2053703,Female,Married,07 January 2023,2,1482140,VX,SUV,Creta,Maruti,Asian,Retired,1304305,0,317193,13 March 2023,01 August 2024
TCS Auto,Kolkata,Tamil Nadu India,40,Nagpur,Kolkata,Telangana,1022738,Male,Married,07 September 2024,2,2368892,Sportz,SUV,I10 GRAND,Honda,Caucasian,Professional,1999073,1,1125660,21 October 2024,08 September 2027
SpeedWheels,Pune,West Bengal India,50,Bangalore,Mumbai Suburban,Telangana,1480754,Male,Unmarried,15 September 2024,3,1210354,Era,SUV,Brezza,Maruti,Asian,Government Employee,830825,0,191047,08 December 2024,25 March 2027
DriveEasy,Delhi,Telangana India,24,Delhi,Chennai,Karnataka,1711799,Male,Unmarried,21 May 2024,1,1049705,SX,Sedan,City,Tata,Asian,Government Employee,697526,1,349744,09 July 2024,10 November 2025
TCS Auto,Delhi,Karnataka India,38,Delhi,New Delhi,West Bengal,1398623,Male,Unmarried,18 December 2023,3,1847059,VX,Premium Hatchback,Verna,Hyundai,Asian,Salaried,1463826,0,178730,15 March 2024,20 December 2025
CarWorld,Hyderabad,Karnataka India,27,Mumbai,Pune,West Bengal,1604404,Female,Married,13 December 2024,1,2028604,Asta,Compact SUV,Baleno,Maruti,Caucasian,Business Owner,1270315,1,479438,02 March 2025,23 July 2026
DriveEasy,Delhi,Maharashtra India,36,Bangalore,Hyderabad,West Bengal,1508155,Male,Married,21 August 2024,3,2133709,SX,Sedan,Brezza,Maruti,Asian,Retired,1315516,0,45308,30 September 2024,10 June 2026
AutoHub,Bangalore,Maharashtra India,38,Chennai,Mumbai Suburban,Tamil Nadu,1632150,Male,Married,06 May 2023,1,1507487,Magna,Sedan,Swift,Maruti,Caucasian,Government Employee,1009504,0,70816,17 June 2023,11 September 2024
AutoHub,Mumbai,Karnataka India,53,Bangalore,Hyderabad,Delhi,2472770,Male,Married,08 December 2024,3,1563224,ZX,Sedan,Baleno,Honda,Asian,Professional,1274401,0,42837,05 February 2025,17 May 2026
DriveEasy,Kolkata,Karnataka India,48,Chennai,Chennai,West Bengal,698765,Male,Married,23 February 2023,2,711709,Asta,Entry Hatchback,Nexon,Honda,African,Self Employed,513501,1,138221,24 April 2023,09 January 2026
CarWorld,Delhi,Telangana India,56,Nagpur,Bangalore Urban,Tamil Nadu,785778,Female,Married,05 January 2024,3,2410054,Asta,Premium Hatchback,I10 GRAND,Hyundai,Asian,Business Owner,1660636,1,820752,25 March 2024,13 November 2026
SCP,Chennai,Telangana India,38,Nagpur,New Delhi,Delhi,1162398,Female,Married,16 April 2024,2,1077737,Sportz,Compact SUV,Nexon,Maruti,African,Retired,812724,1,366304,06 June 2024,21 March 2026
CarWorld,Mumbai,West Bengal India,47,Bangalore,New Delhi,Karnataka,469626,Female,Married,06 January 2024,2,2219092,ZX,Compact SUV,Swift,Maruti,Caucasian,Professional,1795486,1,445664,06 March 2024,14 February 2026
CarWorld,Hyderabad,Delhi India,43,Chennai,Kolkata,Delhi,2279504,Male,Married,16 November 2024,2,752035,VX,Sedan,I10 GRAND,Hyundai,Asian,Government Employee,572926,1,140090,25 January 2025,14 June 2026
AutoHub,Hyderabad,West Bengal India,54,Pune,New Delhi,Delhi,920203,Female,Married,06 March 2024,1,633813,LX,Entry Hatchback,Creta,Tata,Asian,Self Employed,550822,0,91484,03 May 2024,22 March 2026
SpeedWheels,Chennai,Karnataka India,31,Kolkata,Kolkata,Tamil Nadu,1848953,Male,Married,20 November 2023,1,2038120,LX,Entry Hatchback,Swift,Hyundai,Caucasian,Government Employee,1670533,1,701660,18 January 2024,21 December 2026
TCS Auto,Chennai,West Bengal India,57,Bangalore,Mumbai Suburban,West Bengal,417006,Male,Unmarried,03 January 2024,3,2231909,VX,Luxury Sedan,Brezza,Tata,Asian,Business Owner,1965027,0,179651,24 March 2024,14 June 2026
SpeedWheels,Hyderabad,Telangana India,63,Kolkata,New Delhi,Maharashtra,1540477,Male,Unmarried,10 August 2023,3,599723,VX,Luxury Sedan,Verna,Hyundai,Hispanic,Business Owner,362402,0,80093,06 November 2023,03 September 2025
TCS Auto,Pune,Maharashtra India,26,Nagpur,Chennai,Karnataka,371165,Male,Divorced,04 April 2024,1,555023,Asta,Entry Hatchback,Verna,Honda,Caucasian,Government Employee,483203,1,132203,21 May 2024,09 August 2025
TCS Auto,Pune,West Bengal India,42,Kolkata,Hyderabad,Tamil Nadu,1896011,Male,Divorced,18 December 2023,3,710618,ZX,Premium Hatchback,Verna,Maruti,Caucasian,Salaried,492394,0,59574,13 February 2024,22 October 2025
AutoHub,Bangalore,Delhi India,54,Chennai,Chennai,Maharashtra,1214005,Male,Unmarried,17 July 2023,2,2156485,SX,Compact SUV,Nexon,Honda,Caucasian,Self Employed,1800059,1,1044882,01 October 2023,03 May 2026
AutoHub,Bangalore,Tamil Nadu India,53,Nashik,Hyderabad,Karnataka,1983426,Male,Married,05 July 2023,1,2428797,SX,Luxury Sedan,Verna,Maruti,Native American,Retired,2169312,0,387717,01 October 2023,24 November 2024
SpeedWheels,Kolkata,Delhi India,64,Pune,New Delhi,Delhi,1528089,Female,Divorced,27 January 2024,3,819307,SX,Entry Hatchback,City,Honda,Asian,Salaried,499898,0,58906,15 March 2024,03 September 2026
AutoHub,Hyderabad,Maharashtra India,51,Hyderabad,New Delhi,Delhi,442613,Female,Married,05 March 2023,1,1978232,VX,Luxury Sedan,Nexon,Tata,Caucasian,Business Owner,1772101,1,907700,09 April 2023,15 May 2025
SCP,Bangalore,Karnataka India,54,Hyderabad,Bangalore Urban,Maharashtra,1835673,Female,Married,29 February 2024,1,1027330,Asta,SUV,Verna,Hyundai,African,Government Employee,799046,1,310402,10 May 2024,24 May 2026
SpeedWheels,Pune,Tamil Nadu India,61,Kolkata,Mumbai Suburban,Maharashtra,627464,Male,Married,20 January 2024,2,799343,LX,Premium Hatchback,City,Tata,Asian,Retired,690057,0,164859,15 March 2024,24 May 2026
SCP,Delhi,Delhi India,31,Kolkata,Kolkata,Maharashtra,2200036,Male,Married,27 May 2024,2,2432513,SX,Luxury Sedan,Swift,Honda,Asian,Professional,1931602,0,204999,20 August 2024,28 May 2027
TCS Auto,Mumbai,Telangana India,52,Mumbai,Hyderabad,Delhi,2040979,Male,Married,29 September 2023,3,1191158,Era,Luxury Sedan,I10 GRAND,Tata,Asian,Self Employed,946859,0,28576,27 November 2023,31 December 2024
CarWorld,Mumbai,Karnataka India,30,Chennai,Pune,Delhi,2376374,Female,Married,29 June 2023,1,1814368,Asta,SUV,I10 GRAND,Hyundai,Asian,Salaried,1169251,0,54676,04 August 2023,28 April 2025
CarWorld,Pune,Karnataka India,26,Hyderabad,New Delhi,Tamil Nadu,2232082,Male,Married,26 July 2024,2,2225404,SX,Compact SUV,Brezza,Maruti,Asian,Government Employee,1795738,0,421691,22 October 2024,07 June 2026
CarWorld,Kolkata,Delhi India,40,Mumbai,Pune,West Bengal,2426262,Male,Divorced,21 January 2024,3,1639070,LX,Luxury Sedan,Creta,Maruti,Hispanic,Government Employee,1338302,1,542635,15 April 2024,10 February 2026
TCS Auto,Bangalore,Tamil Nadu India,47,Nashik,Hyderabad,Tamil Nadu,972219,Male,Married,13 January 2024,1,2369534,Asta,Premium Hatchback,I10 GRAND,Hyundai,Asian,Business Owner,1490506,1,442335,22 March 2024,07 July 2026
AutoZone,Bangalore,Tamil Nadu India,33,Hyderabad,Kolkata,Telangana,1440225,Male,Married,12 March 2023,1,953649,Magna,Luxury Sedan,Nexon,Maruti,Asian,Retired,596967,0,121560,04 June 2023,20 April 2026
CarWorld,Hyderabad,Telangana India,25,Chennai,Kolkata,Delhi,2025220,Male,Unmarried,31 October 2023,1,839199,Magna,Compact SUV,Brezza,Maruti,Asian,Government Employee,613883,0,61622,20 December 2023,26 June 2026
TCS Auto,Mumbai,Maharashtra India,63,Nagpur,Pune,Maharashtra,578648,Male,Married,06 May 2023,3,2351507,Asta,Compact SUV,Verna,Maruti,Hispanic,Salaried,1633288,1,784530,29 June 2023,03 February 2025
AutoHub,Delhi,Maharashtra India,22,Nagpur,Hyderabad,Karnataka,605645,Male,Married,29 September 2023,2,1220889,Sportz,Luxury Sedan,Swift,Honda,Caucasian,Professional,1043215,1,297108,04 December 2023,15 March 2026
DriveEasy,Kolkata,Telangana India,47,Pune,New Delhi,Maharashtra,364657,Male,Married,29 May 2024,1,1572184,ZX,Compact SUV,Creta,Maruti,Caucasian,Government Employee,1253339,0,207603,03 August 2024,14 October 2025
AutoZone,Delhi,Tamil Nadu India,59,Kolkata,Pune,Karnataka,446242,Female,Married,11 September 2024,3,1280790,Asta,Luxury Sedan,Creta,Hyundai,Asian,Retired,836541,1,508364,19 November 2024,21 June 2026
SpeedWheels,Kolkata,Telangana India,22,Hyderabad,Chennai,Tamil Nadu,1944114,Female,Married,26 November 2023,2,2111323,VX,SUV,Swift,Honda,Asian,Self Employed,1391971,0,273651,28 January 2024,07 September 2025
TCS Auto,Hyderabad,Delhi India,37,Bangalore,Hyderabad,Delhi,1901840,Female,Married,26 February 2023,1,1947222,Asta,SUV,Nexon,Maruti,Asian,Business Owner,1344985,0,34286,05 April 2023,28 February 2026
SCP,Delhi,West Bengal India,43,Pune,Hyderabad,West Bengal,1970413,Male,Unmarried,25 January 2024,2,2018797,Sportz,Entry Hatchback,City,Maruti,African,Professional,1555856,0,376556,09 March 2024,28 August 2025
TCS Auto,Chennai,West Bengal India,31,Mumbai,Bangalore Urban,Tamil Nadu,440527,Male,Unmarried,22 February 2023,2,1104160,VX,Sedan,City,Maruti,Asian,Business Owner,828896,0,33388,12 May 2023,17 October 2025
DriveEasy,Pune,West Bengal India,55,Pune,Mumbai Suburban,Telangana,1495011,Male,Unmarried,23 August 2024,3,2040090,Magna,Luxury Sedan,Baleno,Tata,African,Self Employed,1517004,0,67469,25 September 2024,26 August 2027
AutoHub,Mumbai,Karnataka India,44,Bangalore,Bangalore Urban,Telangana,2165340,Male,Married,02 February 2024,3,2100750,SX,Sedan,Brezza,Hyundai,Hispanic,Professional,1280150,0,190464,13 March 2024,14 January 2026
SCP,Kolkata,Delhi India,36,Hyderabad,Chennai,West Bengal,897630,Female,Divorced,02 November 2023,2,1901871,VX,Entry Hatchback,Verna,Hyundai,Asian,Government Employee,1450240,1,914856,15 January 2024,28 May 2025
SpeedWheels,Kolkata,West Bengal India,27,Mumbai,Bangalore Urban,Karnataka,2496242,Female,Married,21 April 2023,1,2452774,LX,Luxury Sedan,Nexon,Maruti,Native American,Government Employee,1486256,0,174793,16 June 2023,02 May 2025
TCS Auto,Kolkata,Delhi India,31,Hyderabad,Pune,Karnataka,472766,Female,Unmarried,21 April 2024,2,2466462,ZX,Luxury Sedan,Brezza,Maruti,Caucasian,Government Employee,1808132,1,1028056,10 July 2024,14 January 2026
AutoHub,Chennai,Tamil Nadu India,56,Nagpur,Hyderabad,Telangana,1875142,Male,Divorced,10 August 2024,3,708757,SX,Compact SUV,Verna,Tata,Native American,Retired,469366,0,97890,11 October 2024,28 July 2026
DriveEasy,Bangalore,Karnataka India,28,Bangalore,Pune,Maharashtra,1917080,Male,Married,24 December 2024,1,1776687,Sportz,Compact SUV,Creta,Hyundai,African,Professional,1228528,0,118418,20 February 2025,13 May 2026
DriveEasy,Pune,Maharashtra India,47,Bangalore,Pune,Karnataka,1127372,Female,Married,29 November 2023,2,1290666,LX,Entry Hatchback,Creta,Maruti,Asian,Retired,1027043,1,550019,10 February 2024,29 March 2026
DriveEasy,Pune,Tamil Nadu India,64,Pune,Kolkata,Telangana,1171021,Male,Married,06 September 2023,3,2100659,Magna,SUV,Creta,Honda,Asian,Government Employee,1510096,0,131132,14 November 2023,13 November 2025
CarWorld,Delhi,Tamil Nadu India,47,Bangalore,Bangalore Urban,West Bengal,1332653,Female,Married,24 October 2024,1,1601559,Era,Compact SUV,Nexon,Hyundai,Native American,Retired,1244762,0,145181,10 December 2024,08 August 2026
CarWorld,Kolkata,West Bengal India,27,Kolkata,Kolkata,Delhi,349424,Female,Married,01 April 2024,2,2280125,Asta,Entry Hatchback,Nexon,Hyundai,Caucasian,Business Owner,1872345,1,1283398,08 June 2024,10 August 2026
TCS Auto,Bangalore,Delhi India,23,Nashik,Bangalore Urban,Telangana,1901733,Female,Unmarried,30 September 2023,3,1426886,Magna,Compact SUV,Brezza,Tata,Asian,Government Employee,1163577,0,248021,14 November 2023,15 February 2026
DriveEasy,Chennai,Karnataka India,26,Nagpur,Pune,Maharashtra,1168007,Male,Unmarried,25 March 2024,1,1389918,SX,Entry Hatchback,Creta,Maruti,African,Government Employee,1059167,0,182251,12 June 2024,21 November 2025
SpeedWheels,Mumbai,Delhi India,38,Bangalore,Kolkata,Telangana,985792,Male,Married,30 July 2024,3,844177,Magna,Premium Hatchback,Nexon,Tata,Hispanic,Business Owner,726435,0,169763,16 September 2024,23 September 2025
SCP,Pune,Delhi India,21,Chennai,Chennai,Delhi,2144954,Female,Married,08 August 2024,1,1150557,Era,Sedan,Brezza,Tata,Asian,Retired,997438,0,163051,18 September 2024,11 July 2026
SpeedWheels,Chennai,West Bengal India,23,Pune,Hyderabad,Tamil Nadu,2460647,Male,Married,19 December 2023,3,1435080,Era,SUV,Verna,Maruti,Asian,Self Employed,1149649,1,417481,16 March 2024,13 August 2026
AutoZone,Delhi,Karnataka India,23,Pune,Kolkata,Maharashtra,2278502,Male,Married,12 September 2023,2,1698027,Magna,SUV,Swift,Maruti,Caucasian,Business Owner,1058087,1,501989,14 November 2023,07 August 2026
AutoZone,Bangalore,Tamil Nadu India,41,Nashik,New Delhi,Karnataka,1255418,Male,Married,08 December 2024,1,1585609,ZX,Entry Hatchback,City,Hyundai,African,Government Employee,1004590,0,91211,22 January 2025,29 January 2026
AutoZone,Pune,Maharashtra India,22,Kolkata,Mumbai Suburban,Tamil Nadu,986038,Male,Married,11 April 2024,3,1998721,Era,Premium Hatchback,Brezza,Tata,Asian,Government Employee,1565547,0,252000,08 July 2024,20 February 2026
DriveEasy,Chennai,Tamil Nadu India,59,Delhi,Chennai,Karnataka,2457332,Male,Married,28 May 2024,3,1629782,Sportz,Premium Hatchback,Brezza,Hyundai,Caucasian,Self Employed,1091652,1,257398,10 August 2024,01 November 2026
SpeedWheels,Hyderabad,Tamil Nadu India,29,Delhi,Pune,Delhi,1392433,Male,Married,11 August 2024,2,1791612,SX,Luxury Sedan,City,Hyundai,Asian,Retired,1587241,1,1037649,06 October 2024,26 December 2026
SCP,Pune,Tamil Nadu India,31,Bangalore,Chennai,Delhi,1003927,Female,Unmarried,09 October 2023,3,1367846,ZX,Sedan,Swift,Maruti,Native American,Salaried,915823,0,128578,29 December 2023,21 June 2025
SCP,Pune,Karnataka India,60,Chennai,Chennai,Maharashtra,1431333,Male,Unmarried,12 December 2023,3,691950,LX,Sedan,Verna,Maruti,African,Professional,519717,1,299525,27 February 2024,26 December 2025
AutoZone,Pune,Tamil Nadu India,31,Nagpur,Hyderabad,Tamil Nadu,1172806,Female,Married,19 February 2023,2,1147170,VX,Premium Hatchback,Brezza,Hyundai,Asian,Self Employed,714944,0,174433,26 March 2023,07 February 2025
SCP,Mumbai,Karnataka India,34,Bangalore,Hyderabad,Maharashtra,404425,Male,Married,06 July 2023,1,2314021,Sportz,Luxury Sedan,Nexon,Hyundai,Asian,Business Owner,1809314,1,924348,11 September 2023,13 July 2025
AutoZone,Kolkata,Karnataka India,62,Hyderabad,Kolkata,Karnataka,1454502,Male,Married,07 May 2023,1,811599,Sportz,Sedan,I10 GRAND,Tata,Asian,Salaried,672251,0,79733,30 June 2023,25 August 2024
TCS Auto,Delhi,Maharashtra India,51,Delhi,Kolkata,Maharashtra,2245519,Female,Married,21 January 2023,1,1220690,Era,Luxury Sedan,Baleno,Honda,Hispanic,Government Employee,988427,0,160179,27 March 2023,22 November 2024
SCP,Chennai,Delhi India,21,Bangalore,Bangalore Urban,Tamil Nadu,945319,Male,Married,14 March 2024,3,2150188,Era,SUV,I10 GRAND,Tata,Native American,Self Employed,1545267,1,425124,17 April 2024,13 July 2026
AutoZone,Bangalore,Karnataka India,61,Pune,New Delhi,Telangana,1147420,Female,Unmarried,07 November 2024,2,1610676,SX,Sedan,Swift,Hyundai,Caucasian,Retired,1133840,1,761292,30 December 2024,18 August 2026
AutoZone,Chennai,Maharashtra India,41,Nagpur,New Delhi,West Bengal,2379422,Female,Unmarried,23 May 2024,1,1028730,SX,Entry Hatchback,Swift,Maruti,Asian,Self Employed,699839,0,32323,21 July 2024,21 July 2025
DriveEasy,Delhi,Delhi India,38,Kolkata,Mumbai Suburban,Tamil Nadu,1885544,Female,Married,16 May 2023,3,2121433,Asta,SUV,Baleno,Maruti,Hispanic,Self Employed,1459967,0,125643,29 July 2023,06 September 2024
CarWorld,Kolkata,Karnataka India,39,Kolkata,Kolkata,Telangana,403318,Female,Married,03 May 2024,3,1621099,Magna,SUV,I10 GRAND,Hyundai,Caucasian,Retired,1350626,0,191188,12 July 2024,20 July 2026
AutoHub,Hyderabad,Telangana India,64,Nagpur,Hyderabad,West Bengal,2408620,Male,Married,01 July 2024,1,944852,ZX,Entry Hatchback,I10 GRAND,Hyundai,Asian,Business Owner,785207,1,293720,28 September 2024,25 July 2026
SpeedWheels,Chennai,West Bengal India,62,Nashik,Bangalore Urban,Delhi,594852,Female,Married,13 February 2023,3,939885,Magna,Compact SUV,Creta,Hyundai,Caucasian,Salaried,785810,1,203712,23 March 2023,14 August 2024
DriveEasy,Hyderabad,Delhi India,28,Bangalore,New Delhi,Delhi,1981101,Male,Married,26 April 2024,2,598149,SX,Compact SUV,Creta,Honda,Asian,Professional,527540,1,144454,05 June 2024,12 August 2026
SpeedWheels,Kolkata,Delhi India,25,Mumbai,New Delhi,Karnataka,2102740,Male,Married,08 July 2024,1,2433592,LX,Luxury Sedan,Brezza,Tata,Caucasian,Self Employed,1884475,1,1284900,29 August 2024,12 July 2027
SCP,Delhi,Tamil Nadu India,31,Delhi,Mumbai Suburban,West Bengal,2144081,Female,Married,25 May 2023,2,1011226,Era,SUV,Nexon,Honda,Native American,Business Owner,654565,0,98681,07 August 2023,17 March 2026
TCS Auto,Pune,Delhi India,39,Delhi,Kolkata,Maharashtra,2401953,Female,Unmarried,30 November 2023,3,2495122,Asta,Luxury Sedan,Creta,Hyundai,Asian,Government Employee,1692363,0,86075,05 February 2024,10 April 2025
AutoHub,Chennai,Telangana India,21,Nagpur,Mumbai Suburban,Tamil Nadu,1583074,Male,Married,14 January 2024,1,1164913,Sportz,Sedan,I10 GRAND,Tata,Asian,Government Employee,853006,0,48583,21 February 2024,06 September 2025
AutoHub,Mumbai,Maharashtra India,21,Nagpur,Chennai,Karnataka,1723727,Male,Unmarried,15 August 2023,1,2184531,VX,SUV,I10 GRAND,Maruti,Caucasian,Business Owner,1314452,0,143129,22 September 2023,04 January 2026
AutoHub,Mumbai,Tamil Nadu India,39,Kolkata,New Delhi,Telangana,860828,Male,Married,04 September 2024,2,1965112,Era,SUV,Swift,Hyundai,Caucasian,Professional,1389942,0,242347,24 November 2024,15 May 2026
AutoHub,Pune,Maharashtra India,32,Chennai,Bangalore Urban,West Bengal,1260873,Male,Married,02 February 2023,3,1158437,VX,Entry Hatchback,I10 GRAND,Honda,Asian,Professional,845315,0,20107,23 March 2023,13 April 2024
CarWorld,Bangalore,West Bengal India,53,Pune,Chennai,Telangana,1534702,Male,Married,19 April 2024,3,791254,Asta,Sedan,City,Maruti,Native American,Professional,489899,1,207731,14 June 2024,31 December 2026
AutoHub,Kolkata,Karnataka India,46,Hyderabad,Pune,Telangana,2152384,Male,Married,31 May 2024,3,1533281,Asta,SUV,Nexon,Hyundai,Asian,Professional,1287047,0,93356,09 July 2024,07 December 2025
AutoZone,Pune,Delhi India,60,Pune,Chennai,Tamil Nadu,752084,Female,Married,07 September 2024,3,895986,Asta,Premium Hatchback,City,Maruti,Asian,Government Employee,720271,1,420390,17 October 2024,19 February 2026
TCS Auto,Delhi,Maharashtra India,33,Mumbai,Hyderabad,Karnataka,592622,Male,Married,23 October 2023,2,1612370,Magna,Premium Hatchback,Swift,Maruti,Caucasian,Government Employee,1318861,0,153987,21 December 2023,17 May 2025
SCP,Kolkata,Tamil Nadu India,41,Hyderabad,New Delhi,Maharashtra,1983466,Female,Unmarried,23 December 2024,3,697657,Era,Compact SUV,Swift,Tata,African,Government Employee,435386,0,67828,08 February 2025,09 August 2026
DriveEasy,Chennai,Maharashtra India,21,Pune,Kolkata,West Bengal,1648829,Female,Married,17 August 2024,1,949080,Era,Entry Hatchback,City,Maruti,African,Government Employee,727639,1,232346,25 October 2024,14 May 2027
TCS Auto,Kolkata,Maharashtra India,32,Hyderabad,Mumbai Suburban,West Bengal,2224386,Female,Married,15 January 2023,3,1283779,SX,Premium Hatchback,City,Maruti,Asian,Professional,971435,0,53569,28 February 2023,11 September 2025
SpeedWheels,Mumbai,West Bengal India,52,Nashik,Bangalore Urban,Maharashtra,1298023,Male,Married,25 November 2023,1,1717787,Sportz,Entry Hatchback,I10 GRAND,Maruti,Native American,Government Employee,1317195,0,306119,02 February 2024,02 August 2026
AutoZone,Hyderabad,Maharashtra India,63,Hyderabad,Mumbai Suburban,Karnataka,597510,Female,Married,31 January 2024,1,509036,Magna,Entry Hatchback,Brezza,Hyundai,Caucasian,Professional,396870,0,66721,22 April 2024,04 October 2026
AutoZone,Delhi,Karnataka India,37,Pune,Pune,West Bengal,315028,Female,Divorced,22 August 2023,3,1288759,Magna,Luxury Sedan,Nexon,Hyundai,Asian,Business Owner,871459,1,353505,03 October 2023,08 October 2024
SpeedWheels,Kolkata,West Bengal India,45,Nashik,Pune,West Bengal,1751452,Male,Married,05 December 2024,2,1229312,Sportz,Luxury Sedan,Baleno,Hyundai,African,Business Owner,1009298,0,125389,22 January 2025,23 March 2026
TCS Auto,Hyderabad,West Bengal India,63,Kolkata,Pune,Telangana,643630,Male,Married,06 March 2023,3,797782,Magna,Entry Hatchback,Swift,Tata,Asian,Professional,588867,0,35971,17 April 2023,17 July 2024
AutoHub,Pune,Tamil Nadu India,55,Chennai,Bangalore Urban,Karnataka,733547,Male,Married,17 September 2023,2,1542657,Era,SUV,City,Hyundai,Asian,Government Employee,1017939,0,116725,23 November 2023,28 July 2025
SCP,Mumbai,Karnataka India,57,Kolkata,Hyderabad,Tamil Nadu,1013731,Male,Unmarried,19 October 2023,3,2025956,SX,Sedan,City,Maruti,Hispanic,Self Employed,1610841,0,147920,26 December 2023,15 April 2026
CarWorld,Delhi,Tamil Nadu India,46,Hyderabad,New Delhi,Delhi,582020,Male,Married,22 June 2023,2,1204086,Magna,Premium Hatchback,City,Hyundai,African,Self Employed,843667,1,279764,25 July 2023,26 November 2025
